Year	Canada	Czech Republic	Finland	Russia	USA
1917	40				3
1918	39				2
1919	53				4
1920	58				4
1921	65				4
1922	69				5
1923	79				5
1924	110				7
1925	147				10
1926	210				12
1927	235			1	12
1928	258			2	15
1929	286			2	17
1930	324			2	23
1931	156			1	17
1932	169			1	16
1933	164			1	15
1934	164			1	14
1935	157			1	16
1936	162			1	20
1937	156			1	19
1938	153			1	17
1939	150			1	15
1940	154			1	14
1941	170			1	14
1942	181			1	13
1943	199			1	18
1944	183			1	13
1945	150				6
1946	153		1		6
1947	155		1		7
1948	154		1		6
1949	173		1		5
1950	180		1		4
1951	165		1		4
1952	171		1		3
1953	171				2
1954	174				3
1955	172				3
1956	176				3
1957	177				4
1958	171	1			3
1959	177	1			5
1960	181	1			6
1961	181	1			4
1962	191	1			4
1963	206	1			5
1964	220	1			5
1965	237	1			7
1966	249	1			7
1967	337	1			7
1968	345	1			7
1969	354	1	1		8
1970	399	1	1		9
1971	396	1	1		16
1972	407	1	1		21
1973	446	1	1		27
1974	494	1	1		35
1975	492	1	1		36
1976	499	1	2		39
1977	500	2	1		44
1978	484	2	1		50
1979	566	2	6		73
1980	546	2	6		79
1981	578	5	15		77
1982	583	9	13	1	72
1983	580	6	12		86
1984	556	9	17		97
1985	560	8	18		104
1986	573	9	18		107
1987	597	10	15		118
1988	587	13	20	1	119
1989	585	12	17	10	124
1990	579	21	14	12	135
1991	594	21	13	22	152
1992	569	25	12	42	144
1993	589	30	13	55	154
1994	543	31	13	56	155
1995	573	40	17	56	158
1996	582	43	20	57	150
1997	572	48	23	55	151
1998	594	57	23	59	157
1999	573	65	28	70	166
2000	584	78	35	70	162
2001	567	83	44	60	156
2002	572	82	40	61	153
2003	569	80	40	59	167
2005	547	69	44	46	186
2006	522	66	45	39	194
2007	527	62	42	32	212
2008	543	59	42	33	225
2009	553	50	38	33	229
2010	550	44	31	31	242
2011	544	43	30	29	236
2012	486	43	29	27	218